province,city_name,一九九七,一九九八,一九九九,二零零零,二零零一,二零零二,二零零三,二零零四,二零零五,二零零六,二零零七,二零零八,二零零九,二零一零,二零一一,二零一二,二零一三,总计
安徽,安庆,174.21,166.49,159.09,171.52,181.61,195.73,220.08,264.95,285.38,330.8,398.06,484.02,531.88,694.54,865.84,984.19,1023.01,7131.4
安徽,蚌埠,95.58,102.75,106.37,85,89.07,97.45,97.57,127.93,152.03,176.66,210.71,245.13,252.77,306.7,379.35,438.01,448.45,3411.53
安徽,亳州,126.54,118.99,105.65,102.2,98.48,103.21,108.94,135.3,173.27,192.89,229.62,261.46,282.98,337.2,411.2,469.83,517.07,3774.83
安徽,巢湖,158.52,140.13,130.79,109.29,115.15,120.61,136.13,163.84,202.74,229.98,283.62,344.97,393.4,474.83,571.46,656.34,723.81,4955.61
安徽,池州,30.57,29.46,29.33,30.27,31.84,33.79,37.51,43.51,48,55.92,65.48,82.71,102.87,126.28,158.08,178.9,197.9,1282.42
安徽,滁州,191.15,187.21,201.83,208.47,208.04,218.69,224.18,266.96,238.28,271.68,329.06,385.88,431.4,521.48,637.82,724.85,808.32,6055.3
安徽,阜阳,205.35,190.1,173.55,148.56,148.79,155.2,155.58,191.73,219.07,253.56,309.15,365.71,404.51,478.41,556.59,625.4,690.24,5271.5
安徽,合肥,78.32,63.58,68.27,70.88,74.98,85.13,105.23,128.68,179.81,235.37,309.79,402.56,533.58,658.61,846.67,1039.06,1172,6052.52
安徽,淮北,31.38,29.7,32.26,30.37,32.95,35.16,37.23,44.38,47.77,50.15,62.26,76.85,91.69,112.84,144.48,168.92,185.83,1214.22
安徽,淮南,34.74,39.03,38.1,27.53,28.81,32.27,38.09,49.1,66.62,77.1,96.51,130.66,147.13,171.98,196.03,215.3,222.02,1611.02
安徽,黄山,39.61,42.36,44.69,46.41,50.54,54.53,60.95,74.52,89.98,104.49,118.68,139.99,144.14,168.54,204,228.79,254.58,1866.8
安徽,六安,119.96,116.88,116.62,116.61,117.82,127.29,137.11,165.7,203.88,241.29,293.73,360.19,405.59,488.58,566.58,624.88,684.05,4886.76
安徽,马鞍山,33.48,27.62,28.77,25.65,27.34,29.93,35.42,44.23,58.18,72.49,90.15,125.01,149.27,189.41,247.67,214.52,243.48,1642.62
安徽,铜陵,31.38,15.01,15.04,15.58,15.76,14.71,16.21,19.13,20.98,27.88,36.35,53.25,57.52,74.61,92.92,102.49,111.59,720.41
安徽,芜湖,79.53,83.47,78.29,57.67,59.68,65.44,78.2,98.19,126.21,126.52,159.26,202.97,249.84,312.72,391.72,455.58,508.65,3133.94
安徽,宿州,135.88,114.62,118.48,114.13,124.3,131.5,133.57,168.66,185.62,211.93,253.9,286.15,313.49,374.89,461,522.11,586.47,4236.7
